,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
514,João Pedro,br BRA,DF,Corinthians,22-169,2003,2,180,90,11.1,2.0,2,90,2,0,,5,1.00,1,1,0,0.00,+0.06,Matches,cd51f56f
515,João Pedro,br BRA,DF,Grêmio,29-215,1996,5,258,52,15.9,2.9,3,67,1,2,28,0,1.20,5,8,-3,-1.05,-1.05,Matches,31d1ed52
516,João Pedro,br BRA,GK,Santos,18-092,2008,0,,,,,0,,0,0,,2,,,,,,,Matches,273090e1
517,João Pedro,br BRA,MF,Vasco da Gama,21-060,2005,2,35,18,2.2,0.4,0,,0,2,18,12,1.00,1,2,-1,-2.57,-2.23,Matches,f065866a
518,Léo Pelé,br BRA,DF,Athletico–PR,30-104,1996,2,101,51,6.2,1.1,1,90,1,1,11,16,1.50,0,3,-3,-2.67,-3.21,Matches,77980eb9
519,Andreas Pereira,br BRA,MF,Palmeiras,30-168,1996,17,1321,78,81.5,14.7,17,78,6,0,,0,2.24,28,13,+15,+1.02,+0.42,Matches,6639e500
520,Léo Pereira,br BRA,DF,Flamengo,30-138,1996,14,1229,88,80.3,13.7,14,88,12,0,,0,2.14,27,12,+15,+1.10,+1.10,Matches,bd247251
521,Matheus Pereira,br BRA,MF,Cruzeiro,30-044,1996,16,1402,88,86.5,15.6,16,88,13,0,,0,1.31,21,26,-5,-0.32,-0.73,Matches,b04ee927
522,Luan Peres Petroni,br BRA,DF,Santos,31-334,1994,15,1130,75,69.8,12.6,13,86,10,2,6,1,1.20,17,18,-1,-0.08,+0.29,Matches,a5549ec1
523,Leonel Pérez,ar ARG,MF,Grêmio,21-313,2004,10,670,67,41.4,7.4,8,81,6,2,11,2,1.20,9,8,+1,+0.13,+0.51,Matches,5c0eca35
524,Tomás Pérez,ar ARG,MF,Atlético Mineiro,20-296,2005,10,608,61,37.5,6.8,7,78,3,3,21,5,1.90,8,4,+4,+0.59,+1.04,Matches,ae067682
