,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
35,Michel Araujo,uy URU,MF,Bahia,29-263,1996,12,1,243,2.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,1159e4ae
36,Robert Arboleda,ec ECU,DF,São Paulo,34-239,1991,6,3,317,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,269dbfc6
37,Lucas Arcanjo,br BRA,GK,Vitória,27-314,1998,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,21803aa2
38,Benjamin Arhin,gh GHA,MF,Internacional,20-020,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47de2b05
39,Jhon Arias,co COL,MF,Palmeiras,28-270,1997,13,12,1008,11.2,3,0,3,3,0,0,4,0,0.27,0.00,0.27,0.27,0.27,Matches,86d96066
40,Giorgian de Arrascaeta,uy URU,MF,Flamengo,32-017,1994,10,9,740,8.2,3,1,4,2,1,1,1,0,0.36,0.12,0.49,0.24,0.36,Matches,be8d02dd
41,Keny Arroyo,ec ECU,MF,Cruzeiro,20-124,2006,15,11,878,9.8,2,2,4,2,0,0,5,1,0.21,0.21,0.41,0.21,0.41,Matches,a9c426f6
42,Arthur,br BRA,DF,Palmeiras,20-287,2005,13,9,801,8.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,caf3e90b
43,Artur,br BRA,MF,São Paulo,28-123,1998,10,10,880,9.8,1,1,2,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,Matches,105132cd
44,Artur,br BRA,FW,Botafogo–RJ,28-123,1998,4,1,192,2.1,1,0,1,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches,105132cd
45,Giovanni Augusto,br BRA,MFFW,Chapecoense,36-286,1989,10,7,401,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2f94a698
46,Ryan Augusto,br BRA,DF,RB Bragantino,18-287,2007,5,2,234,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d08d6f66
47,Avellar,br BRA,DF,Vasco da Gama,20-102,2006,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,19536a8f
48,Matheus Bahia,br BRA,DFMF,Internacional,26-311,1999,10,9,686,7.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,33e3c4e5
49,Fabián Balbuena,py PAR,DF,Grêmio,34-299,1991,7,7,585,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3626f7d9
50,Gabriel Baralhas,br BRA,MF,Vitória,27-251,1998,14,14,1189,13.2,2,3,5,2,0,0,4,0,0.15,0.23,0.38,0.15,0.38,Matches,b7838aad
51,Gabriel Barbosa,br BRA,FW,Santos,29-292,1996,12,9,814,9.0,7,2,9,6,1,1,5,1,0.77,0.22,1.00,0.66,0.88,Matches,72d0e1b6
52,Lucas Barbosa,br BRA,MFFW,RB Bragantino,25-116,2001,16,16,1435,15.9,4,2,6,4,0,0,4,0,0.25,0.13,0.38,0.25,0.38,Matches,a28eac7e
53,Alexander Barboza,ar ARG,DF,Botafogo–RJ,31-094,1995,12,12,1034,11.5,1,2,3,1,0,0,5,1,0.09,0.17,0.26,0.09,0.26,Matches,b1805c80
54,Álvaro Barreal,ar ARG,MFDF,Santos,25-305,2000,15,10,935,10.4,3,0,3,3,0,0,3,1,0.29,0.00,0.29,0.29,0.29,Matches,ffca53e1
55,Jordan Barrera,co COL,MF,Botafogo–RJ,20-068,2006,11,3,374,4.2,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,abe7a9c6
56,Kadir Barría,pa PAN,MFFW,Botafogo–RJ,18-335,2007,8,2,256,2.8,0,1,1,0,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches,b594dfe1
57,Cauan Barros,br BRA,MF,Vasco da Gama,22-043,2004,15,13,1122,12.5,3,0,3,3,0,0,4,1,0.24,0.00,0.24,0.24,0.24,Matches,6ae4627b
58,Bastos,ao ANG,DF,Botafogo–RJ,35-083,1991,6,6,520,5.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c01c66d9
59,José Luis Rodríguez Bebanz,uy URU,DFMF,Vasco da Gama,29-096,1997,12,8,861,9.6,2,4,6,1,1,1,2,0,0.21,0.42,0.63,0.10,0.52,Matches,6f1a7f76
60,Thiago Beltrame,br BRA,GK,Grêmio,22-351,2003,1,1,74,0.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,e5819c51
61,Gastón Benavídez,ar ARG,MFDF,Athletico–PR,30-238,1995,15,15,1350,15.0,0,5,5,0,0,0,4,0,0.00,0.33,0.33,0.00,0.33,Matches,adc19df2
62,Luis Benedetti,br BRA,DF,Palmeiras,20-011,2006,2,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3690d4f3
63,Alexandro Bernabei,ar ARG,MFDF,Internacional,25-267,2000,15,14,1284,14.3,4,1,5,4,0,0,6,1,0.28,0.07,0.35,0.28,0.35,Matches,67b09a18
64,Facundo Bernal,uy URU,MF,Fluminense,22-301,2003,10,7,549,6.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,ca34fa2e
65,Bernard,br BRA,MFFW,Atlético Mineiro,33-283,1992,15,10,739,8.2,1,2,3,1,0,0,0,0,0.12,0.24,0.37,0.12,0.37,Matches,ab4b3e35
66,Matheus Bidu,br BRA,DF,Corinthians,27-045,1999,15,15,1291,14.3,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21,Matches,b8a72293
67,Damián Bobadilla,py PAR,MF,São Paulo,24-342,2001,14,13,1059,11.8,0,2,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,ad7d6437
68,Yannick Bolasie,cd COD,FW,Chapecoense,37-025,1989,14,12,928,10.3,1,1,2,1,0,1,3,0,0.10,0.10,0.19,0.10,0.19,Matches,715fc0fe
69,Gabriel Bontempo,br BRA,MF,Santos,21-153,2005,16,13,1059,11.8,0,2,2,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,3f384407
70,Daniel Borges,br BRA,DFMF,Mirassol,33-087,1993,5,3,367,4.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,71879f82
71,Marllon Borges,br BRA,DF,Remo,34-063,1992,18,18,1620,18.0,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,d0b29bbd
72,Rafael Borré,co COL,FW,Internacional,30-276,1995,18,11,1058,11.8,2,1,3,2,0,0,2,0,0.17,0.09,0.26,0.17,0.26,Matches,c68da769
73,David Braga,br BRA,MF,Remo,24-189,2001,6,2,218,2.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1448daef
74,Martin Braithwaite,dk DEN,MFFW,Grêmio,35-013,1991,11,3,338,3.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd771f95
75,Gabriel Brazão,br BRA,GK,Santos,25-256,2000,16,16,1440,16.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,18c697e8
76,Brenner,br BRA,FWMF,Vasco da Gama,26-153,2000,13,5,557,6.2,1,1,2,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches,279508bf
77,Breno,br BRA,MF,Corinthians,21-118,2005,16,15,1131,12.6,2,0,2,2,0,0,1,0,0.16,0.00,0.16,0.16,0.16,Matches,4c532308
78,Breno,br BRA,MF,Coritiba,30-145,1996,15,12,973,10.8,8,1,9,8,0,0,3,0,0.74,0.09,0.83,0.74,0.83,Matches,e0016d00
79,José Breno,br BRA,MF,Vitória,22-012,2004,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a404a52b
80,Bruninho,br BRA,MF,Athletico–PR,17-306,2008,9,3,312,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aaf85f4f
