,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
144,Dória,br BRA,DF,São Paulo,31-222,1994,4,2,228,2.5,1,0,1,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,d28b4a9d
145,Thiago dos Santos,br BRA,MF,Coritiba,36-286,1989,11,5,446,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,5408d2b2
146,Alexis Duarte,py PAR,DF,Santos,26-098,2000,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a9f8c8c2
147,David Duarte,br BRA,DF,Bahia,31-145,1995,11,11,990,11.0,2,0,2,2,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,91bf16f7
148,Dudu,br BRA,MF,Athletico–PR,20-168,2006,11,7,598,6.6,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,630a919d
149,Dudu,br BRA,MF,Vitória,27-013,1999,3,1,168,1.9,1,0,1,1,0,0,0,0,0.54,0.00,0.54,0.54,0.54,Matches,c9ebe876
150,Dudu,br BRA,MF,Atlético Mineiro,34-162,1992,12,2,313,3.5,2,0,2,2,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,895ef5ec
151,Edenilson,br BRA,DF,Vitória,21-001,2005,8,4,379,4.2,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,4edc21a7
152,Edenílson,br BRA,MF,Grêmio,36-182,1989,3,2,152,1.7,1,0,1,1,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,4e50f20e
153,Edenílson,br BRA,MFFW,Botafogo–RJ,36-182,1989,12,6,569,6.3,3,2,5,3,0,0,2,0,0.47,0.32,0.79,0.47,0.79,Matches,4e50f20e
154,EDU,br BRA,DF,Vitória,26-002,2000,1,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01dc4e41
155,Carlos Eduardo,br BRA,MF,Mirassol,36-244,1989,11,6,553,6.1,2,0,2,2,0,0,1,1,0.33,0.00,0.33,0.33,0.33,Matches,1a234d32
156,Carlos Eduardo,br BRA,MFFW,Mirassol,29-251,1996,10,7,505,5.6,1,1,2,0,1,1,1,0,0.18,0.18,0.36,0.00,0.18,Matches,27c23008
157,Luis Eduardo,br BRA,DF,Grêmio,18-153,2008,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef49e2ed
158,Vinicius Eduardo,br BRA,DF,Chapecoense,21-120,2005,2,0,62,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3f0afcf0
159,Emerson,br BRA,DF,Flamengo,27-155,1999,8,6,494,5.5,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,df8b52a5
160,Leandro Emmanuel Martínez,ar ARG,MF,Vitória,32-014,1994,14,12,1108,12.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,74758396
161,José Enamorado,co COL,MFFW,Grêmio,27-156,1999,17,10,851,9.5,0,2,2,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches,5a1ce0cb
162,Ênio,br BRA,MFFW,Chapecoense,25-107,2001,9,7,636,7.1,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,661b892f
163,Erick,br BRA,MF,Bahia,28-216,1997,14,8,846,9.4,2,0,2,2,0,0,4,0,0.21,0.00,0.21,0.21,0.21,Matches,8a826636
164,Erick,br BRA,MFFW,Vitória,28-190,1997,16,13,1163,12.9,2,4,6,1,1,1,1,0,0.15,0.31,0.46,0.08,0.39,Matches,8edcad0d
165,Gonzalo Escobar,ar ARG,DF,Santos,29-094,1997,12,12,1047,11.6,0,1,1,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,12207ec1
166,Lucas Esquivel,ar ARG,DFMF,Athletico–PR,24-247,2001,14,14,1115,12.4,1,3,4,1,0,0,1,1,0.08,0.24,0.32,0.08,0.32,Matches,404169c2
167,Lucas Evangelista,br BRA,MF,Palmeiras,31-043,1995,16,2,395,4.4,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,5f4ce4b6
168,Éverson,br BRA,GK,Atlético Mineiro,35-331,1990,18,18,1620,18.0,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches,a59c090b
169,Everton,br BRA,FWMF,Mirassol,29-093,1997,8,0,232,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3b66e70c
170,Everton,br BRA,MFDF,Chapecoense,31-069,1995,14,12,951,10.6,0,1,1,0,0,0,6,1,0.00,0.09,0.09,0.00,0.09,Matches,507781a4
171,Evertton,br BRA,MF,Flamengo,23-110,2003,13,11,846,9.4,0,1,1,0,0,0,4,1,0.00,0.11,0.11,0.00,0.11,Matches,4961c6f4
172,Fabinho,br BRA,FWMF,Coritiba,26-212,1999,7,0,94,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7ea8af29
173,Fabinho,br BRA,MF,RB Bragantino,24-070,2002,5,3,223,2.5,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,ff0e595c
174,Fábio,br BRA,GK,Fluminense,45-261,1980,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,15825726
175,Fabrício,br BRA,FW,Vitória,25-253,2000,8,1,189,2.1,0,1,1,0,0,0,0,0,0.00,0.48,0.48,0.00,0.48,Matches,e2290a67
176,Fagner,br BRA,DF,Cruzeiro,37-007,1989,12,8,712,7.9,0,1,1,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,a9cc58fe
177,Juan Felipe Aguirre,co COL,DF,Athletico–PR,29-293,1996,14,13,1160,12.9,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches,72898527
178,Luiz Felipe,br BRA,DF,Internacional,20-030,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f519264a
179,Felipinho,br BRA,MF,Athletico–PR,24-243,2001,7,4,360,4.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b31af3a6
180,Matheus Fernandes,br BRA,MF,RB Bragantino,27-353,1998,11,8,657,7.3,0,1,1,0,0,0,2,0,0.00,0.14,0.14,0.00,0.14,Matches,f76fdcd2
181,Nathan Fernandes,br BRA,DF,Botafogo–RJ,21-122,2005,4,0,81,0.9,0,1,1,0,0,0,0,0,0.00,1.11,1.11,0.00,1.11,Matches,239bbd8b
182,Roger Fernandes,br BRA,FW,Grêmio,18-050,2008,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1fe12f16
183,Fernando,br BRA,MF,RB Bragantino,27-109,1999,8,1,188,2.1,2,1,3,2,0,0,0,0,0.96,0.48,1.44,0.96,1.44,Matches,d9d43555
184,Luiz Fernando,br BRA,FWMF,Athletico–PR,29-245,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,824ed016
185,Nahuel Ferraresi,ve VEN,DF,São Paulo,27-211,1998,2,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,719aab45
186,Nahuel Ferraresi,ve VEN,DF,Botafogo–RJ,27-211,1998,12,10,918,10.2,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,719aab45
187,Ferreira,br BRA,MFFW,São Paulo,28-169,1997,13,6,517,5.7,4,0,4,4,0,0,2,0,0.70,0.00,0.70,0.70,0.70,Matches,1414e902
188,Djhordney Ferreira,br BRA,MF,São Paulo,19-001,2007,2,1,61,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d93eadad
189,Nicolás Ferreira,uy URU,FW,Remo,24-131,2002,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaa5c295
190,Riquelme Fillipi,br BRA,FW,Palmeiras,19-276,2006,2,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f913257
191,Nathan Fogaça,br BRA,FW,Mirassol,27-009,1999,10,2,352,3.9,2,0,2,2,0,0,2,0,0.51,0.00,0.51,0.51,0.51,Matches,aad135a3
192,Jeferson Forneck,br BRA,MF,Grêmio,19-186,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c8b76684
193,Matheus França,br BRA,FW,Vasco da Gama,22-078,2004,3,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,077faf72
194,Alan Franco,ec ECU,MFDF,Atlético Mineiro,27-301,1998,15,15,1304,14.5,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,c76b161b
195,Alan Franco,ar ARG,DF,São Paulo,29-250,1996,13,13,1073,11.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a548281c
196,Lucas Freitas,br BRA,DF,Vasco da Gama,25-149,2001,2,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a92be6c1
197,Marlon Freitas,br BRA,MF,Palmeiras,31-083,1995,17,17,1484,16.5,2,1,3,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,Matches,ae3181de
198,Riquelme Freitas,br BRA,MF,Grêmio,19-309,2006,2,0,40,0.4,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,36e163aa
199,Juan Freytes,ar ARG,DF,Fluminense,26-158,2000,15,15,1350,15.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b9863758
200,Adonis Frías,ar ARG,DF,Santos,28-093,1998,8,8,675,7.5,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,1b2f1090
201,Bruno Fuchs,br BRA,DF,Palmeiras,27-078,1999,7,5,507,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee89e28d
202,Gabriel,br BRA,DF,Bahia,25-043,2001,6,5,429,4.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4fd28619
203,Gabriel,br BRA,MF,Mirassol,32-273,1993,7,2,254,2.8,0,1,1,0,0,0,1,0,0.00,0.35,0.35,0.00,0.35,Matches,0d10333c
204,Gabriel,br BRA,GK,Vitória,33-264,1992,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f93ed0df
205,Gabriel,br BRA,MF,RB Bragantino,33-343,1992,16,16,1187,13.2,2,0,2,2,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Matches,e9c0d5d8
206,Pedro Gabriel,br BRA,DFMF,Grêmio,19-012,2007,9,9,704,7.8,0,1,1,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,9a05bad9
207,Rhuan Gabriel,br BRA,MF,Cruzeiro,20-132,2006,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9452270
208,Victor Gabriel,br BRA,DF,Internacional,22-051,2004,15,13,1176,13.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,d1c8df97
209,Antonio Galeano,py PAR,MF,Mirassol,26-088,2000,11,2,292,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f7d301ee
210,Ganso,br BRA,MF,Fluminense,36-249,1989,12,2,338,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,23593121
211,Maurício Garcez,br BRA,FW,Chapecoense,29-094,1997,8,3,436,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c060dbf
212,Rodrigo Garro,ar ARG,MFFW,Corinthians,28-165,1998,18,14,1221,13.6,2,6,8,2,0,0,3,0,0.15,0.44,0.59,0.15,0.59,Matches,42b3b51f
213,Gerson,br BRA,MF,Cruzeiro,29-029,1997,17,17,1347,15.0,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,8827bf46
214,Agustín Giay,ar ARG,DF,Palmeiras,22-153,2004,15,11,1008,11.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8047b72e
215,Gilberto,br BRA,DF,Bahia,33-103,1993,7,5,488,5.4,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,1338e42b
216,Gilberto,br BRA,MF,Athletico–PR,21-083,2005,5,3,267,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9aea767e
217,Bruno Gomes,br BRA,DF,Internacional,25-075,2001,18,17,1434,15.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,76f2bbf8
218,Davi Gomes,br BRA,FW,RB Bragantino,21-012,2005,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4081e2e8
219,Igor Gomes,br BRA,MF,Atlético Mineiro,27-093,1999,5,2,231,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6a7fb945
220,Andrés Gómez,co COL,MF,Vasco da Gama,23-279,2002,16,15,1321,14.7,3,1,4,3,0,0,6,0,0.20,0.07,0.27,0.20,0.27,Matches,76a82373
221,Gustavo Gómez,py PAR,DF,Palmeiras,33-043,1993,16,16,1429,15.9,3,0,3,3,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,d5ce52a5
222,Román Gómez,ar ARG,DF,Bahia,21-339,2004,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,68084f40
223,Sebastián Gómez,co COL,MF,Coritiba,30-015,1996,15,15,1194,13.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,233de573
224,Nuno Gonçalo Moreira,pt POR,MF,Vasco da Gama,27-002,1999,15,11,784,8.7,1,1,2,1,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Matches,c28df63c
225,Rafael Gonzaga,br BRA,DF,Santos,18-131,2008,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fdc4897c
226,Guga,br BRA,DF,Fluminense,27-293,1998,11,7,670,7.4,0,2,2,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches,6975a3e1
227,Zé Guilherme,br BRA,DF,Bahia,21-094,2005,1,1,64,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9fd07241
228,Gustavinho,br BRA,MF,RB Bragantino,22-056,2004,14,7,639,7.1,1,1,2,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches,9525ddcd
229,Gustavo,br BRA,MF,Coritiba,23-280,2002,4,0,61,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,226c2775
230,Luiz Gustavo,br BRA,MF,Athletico–PR,38-330,1987,13,12,994,11.0,2,0,2,2,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,82671804
231,Bruno Henrique,br BRA,MFFW,Flamengo,35-170,1990,12,2,354,3.9,0,1,1,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches,5edff24f
232,Bruno Henrique,br BRA,MF,Internacional,36-240,1989,15,11,908,10.1,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches,5a43b021
233,Gustavo Henrique,br BRA,MF,Santos,21-072,2005,8,8,584,6.5,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,0d51aa96
234,Gustavo Henrique,br BRA,DF,Corinthians,33-086,1993,15,15,1350,15.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,fa066690
235,Matheus Henrique,br BRA,MF,Cruzeiro,28-181,1997,17,7,766,8.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a2d9f138
236,Paulo Henrique,br BRA,DF,Vasco da Gama,29-328,1996,12,10,777,8.6,0,2,2,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,Matches,25a0cb08
237,Pedro Henrique,br BRA,DF,RB Bragantino,30-259,1995,11,8,805,8.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,4322e5d7
238,Hércules,br BRA,MF,Fluminense,25-241,2000,16,10,938,10.4,3,0,3,3,0,0,1,0,0.29,0.00,0.29,0.29,0.29,Matches,eadc7b45
239,Diego Hernández,uy URU,MF,Remo,25-361,2000,9,1,162,1.8,0,1,1,0,0,0,2,0,0.00,0.56,0.56,0.00,0.56,Matches,279cc0e8
240,Jhoan Hernández,co COL,DF,Botafogo–RJ,20-118,2006,1,1,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6697cafb
241,José Herrera,ar ARG,MFFW,RB Bragantino,23-063,2003,14,10,724,8.0,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,1dcddc4d
242,Marino Hinestroza,co COL,MF,Vasco da Gama,23-345,2002,8,1,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f397ba12
243,Victor Hugo,br BRA,MFFW,Atlético Mineiro,22-038,2004,15,15,1204,13.4,3,1,4,3,0,0,0,0,0.22,0.07,0.30,0.22,0.30,Matches,33fca7f7
244,Vitor Hugo,br BRA,DF,Atlético Mineiro,35-029,1991,6,5,471,5.2,1,0,1,1,0,0,1,0,0.19,0.00,0.19,0.19,0.19,Matches,f2c1300a
245,Huguinho,br BRA,MF,Botafogo–RJ,19-073,2007,3,3,255,2.8,1,0,1,1,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,9368b299
246,Hulk,br BRA,FWMF,Atlético Mineiro,39-328,1986,12,11,906,10.1,1,3,4,1,0,0,1,0,0.10,0.30,0.40,0.10,0.40,Matches,33a1f72e
247,José Hurtado,ec ECU,DF,RB Bragantino,24-177,2001,12,11,922,10.2,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,cb067e96
248,Iago,br BRA,DF,Bahia,29-087,1997,3,1,127,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,054849d2
249,Ignácio,br BRA,DF,Fluminense,29-199,1996,7,6,541,6.0,0,1,1,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,Matches,2e005e3b
250,Isaac,br BRA,MF,Athletico–PR,22-055,2004,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e43ddd61
251,Italo,br BRA,MFFW,Chapecoense,23-248,2002,15,8,716,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,da8bc098
252,Zé Ivaldo,br BRA,DF,Santos,29-117,1997,5,4,358,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5b6e7010
253,Ivan,br BRA,GK,Remo,28-351,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,43895807
254,Jacy,br BRA,DF,Coritiba,28-342,1997,15,12,1104,12.3,1,0,1,1,0,0,2,1,0.08,0.00,0.08,0.08,0.08,Matches,f6b46b90
255,Jáderson,br BRA,MF,Remo,25-310,2000,10,2,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5ba6a4ff
256,Jadson,br BRA,MF,Athletico–PR,32-292,1993,12,8,714,7.9,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,05748af4
257,Jajá,br BRA,MFFW,Remo,27-218,1998,14,10,890,9.9,4,1,5,4,0,0,1,1,0.40,0.10,0.51,0.40,0.51,Matches,e23c0d1d
258,Jamerson,br BRA,DF,Vitória,27-282,1998,6,3,313,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7910d817
259,Léo Jardim,br BRA,GK,Vasco da Gama,31-090,1995,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f5dfc256
260,Jefté,br BRA,DF,Palmeiras,22-179,2003,7,3,243,2.7,0,1,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,Matches,94217eae
261,Jemmes,br BRA,DF,Fluminense,26-070,2000,14,13,1126,12.5,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,341cadaf
262,Claudio Jesus,br BRA,MF,Athletico–PR,20-235,2005,3,2,243,2.7,0,1,1,0,0,0,0,0,0.00,0.37,0.37,0.00,0.37,Matches,b6d674c0
263,Caíque de Jesus Gonçalves,br BRA,MFDF,Vitória,30-251,1995,15,15,1137,12.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,e075d03e
264,Felipe Jonatan,br BRA,DFMF,Coritiba,28-123,1998,11,5,546,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0102ca7f
265,Jonathan,br BRA,DF,Cruzeiro,22-022,2004,10,9,798,8.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a25c009d
266,Kaio Jorge,br BRA,FW,Cruzeiro,24-145,2002,12,11,911,10.1,4,0,4,1,3,3,0,0,0.40,0.00,0.40,0.10,0.10,Matches,0cf465f2
267,Jorginho,it ITA,MF,Flamengo,34-180,1991,11,10,884,9.8,2,0,2,0,2,2,3,1,0.20,0.00,0.20,0.00,0.00,Matches,45db685d
268,Willian José,br BRA,FW,Bahia,34-207,1991,16,13,896,10.0,3,1,4,2,1,2,0,0,0.30,0.10,0.40,0.20,0.30,Matches,d87e2cae
269,Joshua,br BRA,MF,Flamengo,19-023,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04347cef
270,Luciano Juba,br BRA,DF,Bahia,26-293,1999,15,15,1319,14.7,7,1,8,5,2,3,2,0,0.48,0.07,0.55,0.34,0.41,Matches,c2abc321
271,Julimar,br BRA,MFFW,Athletico–PR,25-144,2001,13,9,721,8.0,3,1,4,2,1,2,2,0,0.37,0.12,0.50,0.25,0.37,Matches,5fca1c6c
272,Juninho,br BRA,DF,Internacional,30-174,1995,3,2,161,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72c01cfb
273,Robinho Junior,br BRA,MF,Santos,18-183,2007,4,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5042b172
274,Gabriel Justino,br BRA,DF,Botafogo–RJ,20-063,2006,6,3,317,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bd01d413
275,Kanu,br BRA,DF,Bahia,29-103,1997,3,3,237,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fefa9b9a
276,Kauê,br BRA,GK,Corinthians,22-130,2004,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,456ce27f
277,Kayke,br BRA,MF,Corinthians,22-051,2004,6,2,233,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce705c56
278,Renato Kayser,br BRA,FW,Vitória,30-121,1996,12,10,639,7.1,3,1,4,2,1,2,3,0,0.42,0.14,0.56,0.28,0.42,Matches,c7495dda
279,Kenji,br BRA,MF,Cruzeiro,20-139,2006,7,1,179,2.0,1,0,1,1,0,0,2,0,0.50,0.00,0.50,0.50,0.50,Matches,492ade3c
280,John Kennedy,br BRA,FW,Fluminense,24-031,2002,17,13,1089,12.1,9,1,10,9,0,0,0,0,0.74,0.08,0.83,0.74,0.83,Matches,132880e0
281,Keno,br BRA,FWMF,Coritiba,36-281,1989,4,0,83,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98558c11
282,Khellven,br BRA,DF,Palmeiras,25-113,2001,13,8,667,7.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cf18ab1b
283,Zakaria Labyad,ma MAR,FWMF,Corinthians,33-101,1993,8,0,95,1.1,1,1,2,1,0,0,1,0,0.95,0.95,1.89,0.95,1.89,Matches,ebc56869
284,Larson,br BRA,MF,Palmeiras,20-343,2005,4,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,93175c23
285,Joaquín Lavega,uy URU,MF,Coritiba,21-135,2005,17,10,839,9.3,5,1,6,5,0,0,3,0,0.54,0.11,0.64,0.54,0.64,Matches,c67a5e1d
286,Lawan,br BRA,FW,Vitória,21-024,2005,1,0,13,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,eeef2120
287,Léo,br BRA,GK,Chapecoense,35-269,1990,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5404291d
288,Léo,br BRA,GK,Bahia,35-269,1990,9,9,764,8.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5404291d
289,Bruno Leonardo,br BRA,DF,Chapecoense,30-016,1996,14,14,1219,13.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0dfd6e28
290,Hugo Leonardo,br BRA,MF,São Paulo,22-150,2004,1,0,19,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4e669c97
291,Leozinho,br BRA,FW,Athletico–PR,27-195,1998,5,0,86,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0ca96dcb
292,Lima,br BRA,FWMF,Fluminense,30-007,1996,1,0,2,0.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d215c7de
293,Jesse Lingard,eng ENG,MFFW,Corinthians,33-185,1992,9,5,407,4.5,0,1,1,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,Matches,810e3c74
294,Samuel Lino,br BRA,MF,Flamengo,26-177,1999,17,13,1004,11.2,4,6,10,4,0,0,2,0,0.36,0.54,0.90,0.36,0.90,Matches,2a295d33
295,Vinicius Lira,br BRA,DF,Santos,18-249,2007,5,4,353,3.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c7771fd8
296,Renan Lodi,br BRA,DFMF,Atlético Mineiro,28-071,1998,17,17,1513,16.8,0,2,2,0,0,0,2,1,0.00,0.12,0.12,0.00,0.12,Matches,ed9f7cfe
297,Marcelo Lomba,br BRA,GK,Palmeiras,39-182,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4835e3c
298,Bruno Lopes,br BRA,FW,Vasco da Gama,18-328,2007,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,70749d76
299,Flaco López,ar ARG,FW,Palmeiras,25-194,2000,17,17,1303,14.5,6,3,9,6,0,0,2,0,0.41,0.21,0.62,0.41,0.62,Matches,e1426a52
